employee_id,full_name,email,hire_date,department_name,dept_employee_count,tenure_days,tenure_category,department_age_days,days_since_last_update
398,Ryan Carroll,ryan.carroll@company.com,2025-04-23 09:09:56.566997,Customer Support,22,0,New Hire,0,0
403,Adam Ware,adam.ware@company.com,2025-04-23 09:09:56.567008,Customer Support,22,0,New Hire,0,0
405,Johnny Lopez,johnny.lopez@company.com,2025-04-23 09:09:56.567012,Customer Support,22,0,New Hire,0,0
414,Hayley Rivera,hayley.rivera@company.com,2025-04-23 09:09:56.567031,Customer Support,22,0,New Hire,0,0
416,Jonathan Walsh,jonathan.walsh@company.com,2025-04-23 09:09:56.567035,Customer Support,22,0,New Hire,0,0
425,Paul Nelson,paul.nelson@company.com,2025-04-23 09:09:56.567053,Customer Support,22,0,New Hire,0,0
436,Alexandra Arellano,alexandra.arellano@company.com,2025-04-23 09:09:56.567076,Customer Support,22,0,New Hire,0,0
449,Kathleen Mcknight,kathleen.mcknight@company.com,2025-04-23 09:09:56.567102,Customer Support,22,0,New Hire,0,0
450,Robert Best,robert.best@company.com,2025-04-23 09:09:56.567104,Customer Support,22,0,New Hire,0,0
479,Sierra Parker,sierra.parker@company.com,2025-04-23 09:09:56.567160,Customer Support,22,0,New Hire,0,0
482,Audrey Mays,audrey.mays@company.com,2025-04-23 09:09:56.567166,Customer Support,22,0,New Hire,0,0
499,Sharon Vazquez,sharon.vazquez@company.com,2025-04-23 09:09:56.588941,Customer Support,22,0,New Hire,0,0
502,Thomas Juarez,thomas.juarez@company.com,2025-04-23 09:09:56.588947,Customer Support,22,0,New Hire,0,0
503,Eric Martin,eric.martin@company.com,2025-04-23 09:09:56.588949,Customer Support,22,0,New Hire,0,0
527,Autumn Poole,autumn.poole@company.com,2025-04-23 09:09:56.588997,Customer Support,22,0,New Hire,0,0
545,Steven Williams,steven.williams@company.com,2025-04-23 09:09:56.589031,Customer Support,22,0,New Hire,0,0
552,Lori Perez,lori.perez@company.com,2025-04-23 09:09:56.589045,Customer Support,22,0,New Hire,0,0
556,Derek Schultz,derek.schultz@company.com,2025-04-23 09:09:56.589053,Customer Support,22,0,New Hire,0,0
569,Lindsay Palmer,lindsay.palmer@company.com,2025-04-23 09:09:56.589078,Customer Support,22,0,New Hire,0,0
574,Miguel Mueller,miguel.mueller@company.com,2025-04-23 09:09:56.589088,Customer Support,22,0,New Hire,0,0
582,Brandy Conner,brandy.conner@company.com,2025-04-23 09:09:56.589104,Customer Support,22,0,New Hire,0,0
584,Tracy Moore,tracy.moore@company.com,2025-04-23 09:09:56.589107,Customer Support,22,0,New Hire,0,0
413,Kelsey Warren,kelsey.warren@company.com,2025-04-23 09:09:56.567029,Development,22,0,New Hire,0,0
440,Adam Sanchez,adam.sanchez@company.com,2025-04-23 09:09:56.567084,Development,22,0,New Hire,0,0
452,Joann Aguilar,joann.aguilar@company.com,2025-04-23 09:09:56.567108,Development,22,0,New Hire,0,0
454,Hannah Craig,hannah.craig@company.com,2025-04-23 09:09:56.567111,Development,22,0,New Hire,0,0
462,Rachel Williams,rachel.williams@company.com,2025-04-23 09:09:56.567127,Development,22,0,New Hire,0,0
464,Angela Wade,angela.wade@company.com,2025-04-23 09:09:56.567131,Development,22,0,New Hire,0,0
489,Billy Nelson,billy.nelson@company.com,2025-04-23 09:09:56.567180,Development,22,0,New Hire,0,0
490,Jeffrey Patrick,jeffrey.patrick@company.com,2025-04-23 09:09:56.567181,Development,22,0,New Hire,0,0
496,Roberto Hill,roberto.hill@company.com,2025-04-23 09:09:56.567193,Development,22,0,New Hire,0,0
506,Joel Bradley,joel.bradley@company.com,2025-04-23 09:09:56.588955,Development,22,0,New Hire,0,0
515,Angela Washington,angela.washington@company.com,2025-04-23 09:09:56.588973,Development,22,0,New Hire,0,0
517,Elizabeth Bishop,elizabeth.bishop@company.com,2025-04-23 09:09:56.588977,Development,22,0,New Hire,0,0
525,Ashley Wagner,ashley.wagner@company.com,2025-04-23 09:09:56.588993,Development,22,0,New Hire,0,0
537,Faith Kennedy,faith.kennedy@company.com,2025-04-23 09:09:56.589016,Development,22,0,New Hire,0,0
540,Matthew Reese,matthew.reese@company.com,2025-04-23 09:09:56.589022,Development,22,0,New Hire,0,0
546,Andrea Wade,andrea.wade@company.com,2025-04-23 09:09:56.589033,Development,22,0,New Hire,0,0
554,Charles Jacobs,charles.jacobs@company.com,2025-04-23 09:09:56.589049,Development,22,0,New Hire,0,0
558,Aaron Scott,aaron.scott@company.com,2025-04-23 09:09:56.589057,Development,22,0,New Hire,0,0
567,Melinda Thomas,melinda.thomas@company.com,2025-04-23 09:09:56.589075,Development,22,0,New Hire,0,0
568,Justin Williams,justin.williams@company.com,2025-04-23 09:09:56.589077,Development,22,0,New Hire,0,0
591,Dominique Smith,dominique.smith@company.com,2025-04-23 09:09:56.589121,Development,22,0,New Hire,0,0
595,Antonio Harmon,antonio.harmon@company.com,2025-04-23 09:09:56.589129,Development,22,0,New Hire,0,0
397,Gloria Burton,gloria.burton@company.com,2025-04-23 09:09:56.566991,Engineering,20,0,New Hire,0,0
415,Joseph Thompson,joseph.thompson@company.com,2025-04-23 09:09:56.567033,Engineering,20,0,New Hire,0,0
427,Kenneth Olsen,kenneth.olsen@company.com,2025-04-23 09:09:56.567057,Engineering,20,0,New Hire,0,0
429,Margaret Wells,margaret.wells@company.com,2025-04-23 09:09:56.567061,Engineering,20,0,New Hire,0,0
435,Matthew Castillo,matthew.castillo@company.com,2025-04-23 09:09:56.567074,Engineering,20,0,New Hire,0,0
459,Christian Bean,christian.bean@company.com,2025-04-23 09:09:56.567121,Engineering,20,0,New Hire,0,0
