date,salesperson,lead_name,segment,region,target_close,forecasted_monthly_revenue,opportunity_stage,weighted_revenue,closed_opportunity,active_opportunity,latest_status_entry
2011-01-02,Gerri Hinds,US_SMB_1317,SMB,US,2011-02-02,103699,Lead,10370,FALSE,FALSE,FALSE
2011-01-03,David King,EMEA_Enterprise_405,Enterprise,EMEA,2011-04-09,393841,Lead,39384,FALSE,FALSE,FALSE
2011-01-06,James Swanger,US_Enterprise_1466,Enterprise,US,2011-05-04,326384,Lead,32638,FALSE,FALSE,FALSE
2011-01-11,Gerri Hinds,US_SMB_2291,SMB,US,2011-02-14,76316,Lead,7632,FALSE,FALSE,FALSE
2011-01-11,Victor Burk,EMEA_SMB_288,SMB,EMEA,2011-01-31,162403,Lead,16240,FALSE,FALSE,FALSE
2011-01-12,David King,EMEA_SMB_862,SMB,EMEA,2011-03-16,116458,Lead,11646,FALSE,FALSE,FALSE
2011-01-13,Gerri Hinds,US_SMB_1891,SMB,US,2011-02-18,47174,Lead,4717,FALSE,FALSE,FALSE
2011-01-16,David King,EMEA_SMB_117,SMB,EMEA,2011-03-06,102072,Lead,10207,FALSE,FALSE,FALSE
2011-01-19,Victor Burk,EMEA_SMB_156,SMB,EMEA,2011-03-03,157771,Lead,15777,FALSE,FALSE,FALSE
2011-01-25,Anne Smith,US_SMB_397,SMB,US,2011-02-27,103371,Lead,10337,FALSE,FALSE,FALSE
2011-01-26,Victor Burk,EMEA_Startup_30,Startup,EMEA,2011-02-23,551965,Lead,55196,FALSE,FALSE,FALSE
2011-01-29,Gerri Hinds,US_SMB_2363,SMB,US,2011-02-24,112808,Lead,11281,FALSE,FALSE,FALSE
2011-01-30,James Swanger,US_Startup_967,Startup,US,2011-02-27,469290,Prospect,93858,FALSE,FALSE,FALSE
2011-01-31,Walter Landfair,APAC_Enterprise_600,Enterprise,APAC,2011-07-24,485606,Lead,48561,FALSE,FALSE,FALSE
2011-02-03,James Swanger,US_Enterprise_735,Enterprise,US,2011-04-30,529499,Lead,52950,FALSE,FALSE,FALSE
2011-02-03,Victor Burk,EMEA_SMB_288,SMB,EMEA,2011-02-03,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-02-05,Gerri Hinds,US_SMB_1317,SMB,US,2011-02-05,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-02-06,Jennifer Weidman,US_Enterprise_1097,Enterprise,US,2011-06-29,259861,Lead,25986,FALSE,FALSE,FALSE
2011-02-13,David King,EMEA_SMB_1071,SMB,EMEA,2011-04-01,131412,Lead,13141,FALSE,FALSE,FALSE
2011-02-15,Jennifer Weidman,US_Startup_264,Startup,US,2011-03-25,625302,Lead,62530,FALSE,FALSE,FALSE
2011-02-15,Victor Burk,EMEA_Startup_30,Startup,EMEA,2011-02-15,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-02-16,James Swanger,US_Enterprise_233,Enterprise,US,2011-04-14,306569,Lead,30657,FALSE,FALSE,FALSE
2011-02-17,James Swanger,US_SMB_2513,SMB,US,2011-03-16,106928,Lead,10693,FALSE,FALSE,FALSE
2011-02-18,Gerri Hinds,US_Startup_501,Startup,US,2011-03-26,651585,Lead,65159,FALSE,FALSE,FALSE
2011-02-18,Gerri Hinds,US_SMB_2291,SMB,US,2011-02-18,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-02-20,James Swanger,US_Startup_967,Startup,US,2011-02-20,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-02-22,Gerri Hinds,US_SMB_1891,SMB,US,2011-02-22,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-02-24,Walter Landfair,APAC_Enterprise_136,Enterprise,APAC,2011-09-20,496834,Lead,49683,FALSE,FALSE,FALSE
2011-02-26,Victor Burk,EMEA_SMB_27,SMB,EMEA,2011-04-27,123203,Lead,12320,FALSE,FALSE,FALSE
2011-02-27,Gerri Hinds,US_SMB_2363,SMB,US,2011-02-27,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-03-02,Anne Smith,US_SMB_397,SMB,US,2011-03-02,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-03-05,David King,EMEA_SMB_1361,SMB,EMEA,2011-05-07,143011,Lead,14301,FALSE,FALSE,FALSE
2011-03-07,Victor Burk,EMEA_SMB_156,SMB,EMEA,2011-03-07,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-03-08,David King,EMEA_Enterprise_405,Enterprise,EMEA,2011-05-19,367585,Prospect,73517,FALSE,FALSE,FALSE
2011-03-11,David King,EMEA_SMB_117,SMB,EMEA,2011-04-23,88916,Prospect,17783,FALSE,FALSE,FALSE
2011-03-15,James Swanger,US_SMB_662,SMB,US,2011-04-24,92315,Lead,9232,FALSE,FALSE,FALSE
2011-03-16,Anne Smith,US_SMB_1275,SMB,US,2011-04-30,66204,Lead,6620,FALSE,FALSE,FALSE
2011-03-19,James Swanger,US_SMB_2513,SMB,US,2011-04-12,93146,Prospect,18629,FALSE,FALSE,FALSE
